sex	age	birthplace	shoesize	smoking	 avgrade	bafög	applynumb	acceptnumb	laptop	car	glasses	 sleep	religion	job	unieval	  cityeval	rent	abroadbefore	master	exchange	faith	brothsis	friend	animal	micromacro	work	tv	party	parentseducat	parentsstudy	parentsphd	hairdresser	travel	height	weight	cooking	 profession meat	statistics	macburger	studyfine	newspaper	information	soccommit	econconcept						
0,0	21,0	1,0	42,5	1,0	1,7	0,0	4,0	4,0	1,0	0,0	1,0	8,0	5,0	0,0	3,0	5,0	270,0	1,0	2,0	1,0	0,0	2,0	0,0	0,0	2,0	15,5	1,5	6,0	1,0	0,0	0,0	3,0	3,0	170,0	80,0	5,0	0,0	1,0	0,0	1,0	-1,0	1,0	3,0	0,0	0,0						
1,0	19,0	1,0	40,0	0,0	1,3	0,0	2,0	2,0	1,0	0,0	1,0	7,0	1,0	0,0	1,0	2,0	320,0	0,0	1,0	2,0	-1,0	3,0	1,0	0,0	2,0	6,0	3,0	1,0	3,0	1,0	0,0	5,0	1,0	172,0	55,0	2,0	0,0	1,0	0,0	4,0	2,0	8,0	1,0	1,0	1,0						
1,0	20,0	3,0	39,0	0,0	2,7	0,0	9,0	6,0	1,0	1,0	1,0	8,5	1,0	0,0	1,0	4,0	470,0	0,0	2,0	2,0	-2,0	2,0	1,0	0,0	2,0	7,0	25,0	1,0	3,0	1,0	0,0	4,0	1,0	178,0	70,0	4,0	0,0	1,0	0,0	1,0	2,0	3,0	4,0	0,0	2,0						
0,0	20,0	1,0	44,0	1,0	2,2	1,0	5,0	4,0	1,0	1,0	0,0	6,5	2,0	0,0	1,0	3,0	295,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0	2,0	4,5	20,0	3,0	2,0	0,0	0,0	10,0	0,0	185,0	82,0	3,0	0,0	1,0	0,0	2,0	1,0	9,0	2,0	0,0	1,0						
0,0	19,0	4,0	44,0	0,0	2,0	1,0	4,0	4,0	1,0	0,0	1,0	9,0	2,0	0,0	2,0	3,0	320,0	0,0	1,0	1,0	-1,0	0,0	0,0	0,0	2,0	11,0	9,0	3,0	3,0	1,0	0,0	7,0	2,0	175,0	65,0	3,0	0,0	1,0	0,0	2,0	1,0	5,0	4,0	1,0	1,0						
0,0	20,0	1,0	45,0	0,0	2,2	0,0	2,0	1,0	1,0	0,0	0,0	7,5	1,0	2,0	2,0	3,0	0,0	0,0	1,0	2,0	-1,0	0,0	1,0	1,0	2,0	10,0	9,0	1,0	3,0	0,0	0,0	4,0	0,0	182,0	77,0	4,0	0,0	1,0	0,0	2,0	1,0	4,0	2,0	0,0	1,0						
0,0	21,0	1,0	42,0	1,0	1,5	0,0	1,0	1,0	1,0	1,0	0,0	8,0	5,0	0,0	2,0	3,0	210,0	1,0	2,0	2,0	-2,0	2,0	0,0	1,0	3,0	10,0	0,5	2,0	3,0	1,0	0,0	3,0	1,0	180,0	80,0	1,0	0,0	0,0	0,0	4,0	2,0	2,0	4,0	1,0	0,0						
0,0	21,0	1,0	47,0	0,0	1,3	0,0	3,0	3,0	1,0	0,0	0,0	8,0	2,0	0,0	1,0	2,0	175,0	0,0	2,0	2,0	2,0	2,0	0,0	1,0	2,0	14,0	7,0	2,0	3,0	1,0	1,0	6,0	3,0	194,0	83,0	1,0	0,0	1,0	0,0	2,0	2,0	3,0	4,0	1,0	1,0						
1,0	19,0	3,0	39,0	1,0	1,0	0,0	1,0	1,0	1,0	0,0	0,0	10,0	5,0	0,0	2,0	3,0	390,0	1,0	2,0	1,0	-2,0	1,0	1,0	1,0	1,0	2,5	5,0	5,0	3,0	1,0	0,0	2,0	2,0	174,0	55,0	2,0	0,0	1,0	1,0	1,0	2,0	4,0	4,0	0,0	1,0						
0,0	19,0	3,0	42,0	0,0	1,7	0,0	1,0	2,0	0,0	1,0	0,0	7,0	1,0	1,0	2,0	2,0	0,0	0,0	0,0	1,0	1,0	1,0	0,0	0,0	2,0	2,0	9,0	2,0	3,0	1,0	0,0	5,0	0,0	192,0	69,0	4,0	0,0	1,0	0,0	4,0	1,0	9,0	4,0	1,0	0,0						
0,0	20,0	10,0	40,0	0,0	NA	0,0	4,0	4,0	1,0	1,0	0,0	8,0	3,0	0,0	2,0	4,0	210,0	1,0	0,0	1,0	0,0	1,0	0,0	1,0	2,0	40,0	0,0	1,0	0,0	1,0	1,0	4,0	2,0	170,0	58,0	2,0	0,0	1,0	0,0	1,0	2,0	2,0	4,0	1,0	0,0						
0,0	20,0	4,0	46,0	0,0	1,1	0,0	2,0	2,0	1,0	0,0	1,0	9,0	1,0	0,0	1,0	2,0	210,0	1,0	2,0	2,0	2,0	2,0	0,0	1,0	1,0	15,0	2,0	1,0	3,0	1,0	1,0	8,0	3,0	185,0	70,0	4,0	0,0	1,0	0,0	4,0	1,0	3,0	4,0	1,0	1,0						
0,0	20,0	5,0	43,0	1,0	1,4	1,0	4,0	3,0	1,0	0,0	0,0	9,0	1,0	0,0	2,0	3,0	270,0	0,0	2,0	2,0	-1,0	1,0	0,0	0,0	1,0	10,0	20,0	2,0	3,0	1,0	1,0	5,0	2,0	178,0	76,0	4,0	0,0	1,0	0,0	2,0	2,0	5,0	4,0	0,0	0,0						
