portfolioName(string),index(int option),yearMonth(date),ret(float)
Mine,2,2011-08-01T00:00:00.0000000,-0.06864229787387725
Mine,3,2011-08-01T00:00:00.0000000,-0.05725650621386567
Mine,1,2011-09-01T00:00:00.0000000,-0.09117443268365402
Mine,2,2011-09-01T00:00:00.0000000,-0.08349528291252636
Mine,3,2011-09-01T00:00:00.0000000,-0.0743767446983822
Mine,1,2011-10-01T00:00:00.0000000,0.10775691109037405
Mine,2,2011-10-01T00:00:00.0000000,0.11393660473166631
Mine,3,2011-10-01T00:00:00.0000000,0.13829107699980164
Mine,1,2011-11-01T00:00:00.0000000,0.0002877482437106423
Mine,2,2011-11-01T00:00:00.0000000,-0.006743917991177464
Mine,3,2011-11-01T00:00:00.0000000,-0.018179433386393624
