"sex"	"age"	"birthplace"	"shoesize"	"service"	"smoking"	"avgrade"	"bafög"	"soccer"	"applynumb"	"acceptnumb"	"car"	"sleep"	"religion"	"job"	"unieval"	"cityeval"	"rent"	"abroadbefore"	"master"	"exchange"	"faith"	"brothsis"	"friend"	"animal"	"howareyou"	"work"	"tv"	"party"	"parentseducat"	"parentsstudy"	"parentsphd"	"languages"	"travel"	"height"	"weight"	"cooking"	"profession"	"meat"	"alternative"	"eggs"	"studyfine"	"newspaper"	"information"	"soccommit"	"econconcept"
"98"	0	21	2	43	2	0	1.4	0	1	1	1	0	8	1	0	1	2	274	1	2	2	1	1	1	1	2	5	0	3	3	1	1	3	4	184	74	1	0	1	1	4	2	3	1	0	1
"99"	0	26	1	44	2	0	1.6	0	2	5	4	0	8	2	0	2	3	315	1	0	-1	0	1	0	1	0	10	1.5	1	3	1	1	4	1	185	78	2	1	1	2	2	0	3	1	0	1
"100"	0	20	6	45	0	0	1.4	1	4	4	4	0	8	5	0	1	2	280	0	2	1	-2	1	0	0	1	8	2	2	3	1	0	4	1	180	65	3	0	1	3	0	2	3	4	0	2
"101"	0	21	6	43	0	1	2.2	0	1	3	3	0	6	2	0	1	2	300	0	1	2	1	1	0	0	1	10	5	1	3	1	0	2	1	180	72	4	0	1	5	3	2	3	4	0	1
"102"	0	23	4	45	2	1	2	1	1	10	10	0	8	1	0	2	3	290	1	-1	2	1	2	0	1	0	5	5	3	2	0	0	2	2	186	72	5	1	1	4	0	0	9	4	0	0
"103"	0	21	3	44	0	0	2.3	1	2	4	2	0	6	3	2	3	2	0	0	1	0	0	6	1	1	1	10	1	4	1	0	0	4	2	175	74	4	0	1	1	1	0	8	4	0	-1
"104"	1	20	4	38	0	0	2	0	0	5	5	0	7	1	0	2	2	240	1	2	2	0	1	1	1	1	10	3	5	3	1	0	3	1	165	50	3	0	0	3	4	0	2	4	1	0
"105"	0	21	3	42	2	0	1.6	0	3	1	1	1	8	2	2	1	1	0	1	2	2	0	2	0	0	1	6	10	3	3	1	1	3	3	168	63	1	0	1	4	4	2	3	4	0	2
"106"	1	20	3	38	0	0	2	0	0	8	6	0	6	2	0	1	3	300	1	2	2	2	1	1	0	1	7	0	2	3	1	1	3	4	164	50	3	0	1	2	3	1	3	1	0	1
"107"	0	22	1	44	2	0	1.9	1	1	2	2	0	7	1	0	2	2	250	0	0	-1	2	1	1	1	1	5	10	2	3	1	0	2	2	177	78	3	0	1	1	4	1	7	2	0	1
"108"	0	23	1	46	2	0	2.7	0	1	3	3	0	9	1	0	1	1	215	0	0	-1	2	1	0	1	2	14	12	1	3	0	0	3	0	183	69	4	1	1	1	2	2	8	5	0	2
"109"	1	21	1	40	0	0	1.9	0	0	20	20	0	8	1	0	2	2	280	0	0	-2	2	1	0	0	0	15	4	3	1	0	0	3	0	173	69	2	0	1	1	3	0	7	5	0	0
"110"	0	22	3	46	0	0	2.6	0	3	8	8	1	9	5	0	2	2	230	0	-2	0	-2	1	0	1	2	5	5	3	3	1	0	2	0	186	85	2	1	1	5	1	2	1	4	1	1
"111"	0	22	4	47	0	1	2.1	0	1	1	1	0	7	5	3	1	2	330	0	2	2	-2	1	1	0	1	15	5	3	3	0	0	2	3	192	86	3	0	1	4	2	2	4	1	0	1
"112"	0	19	3	42	1	0	1.5	1	4	1	1	0	7.5	1	0	2	3	300	0	2	1	1	0	0	1	1	14	15	1	2	0	0	2	0	178	67	4	0	1	1	0	1	3	4	1	1
"113"	0	20	4	43	0	0	1.8	1	6	4	4	0	7.5	1	0	2	3	210	0	1	2	2	1	1	0	1	7	2	5	2	0	0	1	0	184	70	1	0	1	3	3	0	6	1	1	1
"114"	0	21	3	42	2	0	1.1	1	2	3	3	0	8	1	0	1	3	300	0	2	1	0	0	0	1	1	12	7	2	2	0	0	2	1	189	70	3	0	1	0	3	2	2	1	1	1
"115"	1	19	1	38	0	0	1.2	0	2	4	4	0	6.5	1	0	2	2	425	1	2	2	0	2	0	1	2	7	2	1	3	1	1	2	2	165	54	3	0	1	1	3	1	3	1	0	1
"116"	1	19	7	37	0	0	1.3	0	1	1	1	0	7.5	4	0	1	2	225	0	2	1	-1	0	1	1	1	20	3	1	3	1	1	4	1	162	50	4	0	1	1	0	1	8	5	1	1
"117"	0	24	1	42	0	0	1.4	1	3	1	1	0	7	2	2	3	1	690	0	2	-2	1	3	1	0	0	20	7	2	2	0	0	1	0	180	73	3	1	1	4	4	2	8	4	0	-2
"118"	0	21	4	46	3	0	1.6	1	6	3	3	0	7.5	2	0	1	2	215	0	2	1	-1	1	1	1	1	14	5	2	2	0	0	2	3	184	82	5	0	1	3	3	2	3	1	1	1
"119"	1	20	1	38	0	0	2.4	0	0	4	3	0	8	2	1	2	2	0	0	1	1	1	1	1	1	1	10	5	1	3	1	0	2	3	173	53	3	0	1	1	4	1	8	1	0	1
